district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,丽园新村 2室1厅 47.58平米,https://sh.lianjia.com/chengjiao/107104726657.html,南 | 简装,2021.12.06,540万,低楼层(共6层) 1986年板楼,113494元/平,"房屋满五年, 近地铁",挂牌570万,成交周期5天,廖小玉,https://dianpu.lianjia.com/1000000022110207/
Huangpu,怡绿公寓 2室2厅 89.12平米,https://sh.lianjia.com/chengjiao/107104091106.html,南 北 | 简装,2021.12.05,984万,中楼层(共7层) 1996年板楼,110413元/平,"房屋满五年, 近地铁",挂牌1016万,成交周期177天,李帅,https://dianpu.lianjia.com/1000000022145341/
Huangpu,大众汽车公寓 3室2厅 129.68平米,https://sh.lianjia.com/chengjiao/107104689902.html,南 | 其他,2021.12.02,1384万,中楼层(共28层) 1996年塔楼,106725元/平,,挂牌1390万,成交周期12天,张豆,https://dianpu.lianjia.com/1000000022232203/
Huangpu,银杏家园 2室2厅 111.75平米,https://sh.lianjia.com/chengjiao/107104432408.html,南 | 精装,2021.12.01,1180万,低楼层(共13层) 2000年板楼,105593元/平,"房屋满五年, 近地铁",挂牌1230万,成交周期83天,董如,https://dianpu.lianjia.com/1000000022264341/
Huangpu,新家坡园景苑 3室1厅 114.35平米,https://sh.lianjia.com/chengjiao/107104279857.html,东南 | 简装,2021.12.01,1332万,高楼层(共34层) 1999年塔楼,116485元/平,房屋满五年,挂牌1420万,成交周期121天,杨昭,https://dianpu.lianjia.com/1000000026660402/
Huangpu,桥一小区 1室1厅 42.8平米,https://sh.lianjia.com/chengjiao/107104263995.html,南 | 简装,2021.11.24,457万,中楼层(共7层) 1989年板楼,106776元/平,,挂牌475万,成交周期118天,丁小芳,https://dianpu.lianjia.com/1000000022098250/
Huangpu,蒙自路601弄 1室1厅 35.26平米,https://sh.lianjia.com/chengjiao/107104253625.html,南 | 精装,2021.11.19,373万,中楼层(共6层) 1987年板楼,105786元/平,近地铁,挂牌379万,成交周期117天,黄玉群,https://dianpu.lianjia.com/1000000022165360/
Huangpu,汝南街小区 1室1厅 38.9平米,https://sh.lianjia.com/chengjiao/107104638376.html,南 | 简装,2021.11.15,413万,高楼层(共7层) 1988年板楼,106170元/平,近地铁,挂牌428万,成交周期10天,赵籼峰,https://dianpu.lianjia.com/1000000026782371/
Huangpu,丽园路514弄 1室0厅 34.73平米,https://sh.lianjia.com/chengjiao/107104611202.html,南 | 简装,2021.11.14,400万,高楼层(共7层) 1994年板楼,115175元/平,"房屋满五年, 近地铁",挂牌408万,成交周期15天,沈泽荣,https://dianpu.lianjia.com/1000000022267775/
Huangpu,鼎达公寓 2室2厅 92.81平米,https://sh.lianjia.com/chengjiao/107104549364.html,南 | 简装,2021.11.13,985万,中楼层(共7层) 1998年板楼,106131元/平,"房屋满五年, 近地铁",挂牌1030万,成交周期32天,周海平,https://dianpu.lianjia.com/1000000022107159/
